candidate,family,entry_time,entry_hour,direction,entry_price,atr,horizon_min,tp_atr,sl_atr,exit_time,exit_price,exit_reason,gross,net_x1,net_x4,net_x6,reason,london_range,prior_day_range,asia_range,london_q,prior_q,confirm_atr_min,pullback_atr_max,breakout_atr_min,asia_q
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-09-27 13:00:00+00:00,13,1,1634.9,2.5210000000000377,180,0.6,0.65,2022-09-27 13:09:00+00:00,1633.26135,sl,-1.6386500000000979,-1.988650000000098,-3.0386500000000978,-3.7386500000000975,passed_high_range_regime,9.63000000000011,28.61999999999989,10.209999999999809,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-04 13:00:00+00:00,13,1,1708.35,2.77199999999998,180,0.6,0.65,2022-10-04 13:22:00+00:00,1710.0131999999999,tp,1.6631999999999607,1.3131999999999606,0.2631999999999608,-0.43680000000003893,passed_high_range_regime,13.170000000000073,41.819999999999936,7.339999999999918,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-05 13:00:00+00:00,13,-1,1704.5,3.168499999999972,180,0.6,0.65,2022-10-05 13:02:00+00:00,1706.559525,sl,-2.059524999999894,-2.4095249999998942,-3.459524999999894,-4.159524999999894,passed_high_range_regime,21.699999999999818,34.200000000000045,8.230000000000018,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-10 13:00:00+00:00,13,-1,1679.49,2.7470000000000256,180,0.6,0.65,2022-10-10 13:17:00+00:00,1677.8418,tp,1.648200000000088,1.298200000000088,0.24820000000008813,-0.4517999999999116,passed_high_range_regime,11.519999999999982,4.789999999999964,12.700000000000045,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-12 13:00:00+00:00,13,1,1670.29,2.6530000000000085,180,0.6,0.65,2022-10-12 13:31:00+00:00,1668.56555,sl,-1.7244499999999334,-2.0744499999999335,-3.1244499999999333,-3.824449999999933,passed_high_range_regime,10.549999999999955,22.8900000000001,5.490000000000009,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-13 13:00:00+00:00,13,1,1675.22,1.94549999999997,180,0.6,0.65,2022-10-13 13:47:00+00:00,1673.955425,sl,-1.2645749999999225,-1.6145749999999226,-2.6645749999999224,-3.364574999999922,passed_high_range_regime,10.8900000000001,16.950000000000045,6.440000000000055,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-14 13:00:00+00:00,13,-1,1653.32,2.915999999999974,180,0.6,0.65,2022-10-14 13:05:00+00:00,1655.2153999999998,sl,-1.8953999999998814,-2.2453999999998815,-3.2953999999998813,-3.995399999999881,passed_high_range_regime,21.539999999999964,40.01999999999998,11.259999999999991,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-19 13:00:00+00:00,13,-1,1639.45,2.6320000000000165,180,0.6,0.65,2022-10-19 13:01:00+00:00,1641.1608,sl,-1.710800000000063,-2.060800000000063,-3.110800000000063,-3.8108000000000626,passed_high_range_regime,11.819999999999936,15.049999999999955,5.379999999999882,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-21 13:00:00+00:00,13,1,1625.41,2.5454999999999925,180,0.6,0.65,2022-10-21 14:08:00+00:00,1626.9373,tp,1.5272999999999683,1.1772999999999683,0.12729999999996844,-0.5727000000000313,passed_high_range_regime,10.059999999999945,23.12000000000012,7.769999999999982,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-24 13:00:00+00:00,13,-1,1648.46,2.7504999999999766,180,0.6,0.65,2022-10-24 13:47:00+00:00,1646.8097,tp,1.6503000000000156,1.3003000000000156,0.25030000000001573,-0.449699999999984,passed_high_range_regime,14.289999999999964,5.759999999999991,18.470000000000027,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-25 13:00:00+00:00,13,-1,1639.31,2.0905000000000085,180,0.6,0.65,2022-10-25 13:03:00+00:00,1640.668825,sl,-1.3588250000000244,-1.7088250000000245,-2.7588250000000243,-3.458825000000024,passed_high_range_regime,13.129999999999882,26.539999999999964,7.680000000000064,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-10-28 13:00:00+00:00,13,-1,1649.08,2.525999999999999,180,0.6,0.65,2022-10-28 13:03:00+00:00,1647.5644,tp,1.5155999999999494,1.1655999999999493,0.11559999999994952,-0.5844000000000502,passed_high_range_regime,18.899999999999864,15.939999999999827,6.419999999999845,0.35,0.1,0.0,,,
