period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022,17,-13.84,-0.814118,-0.63,0.352941,0.586742,-20.9,0,1,1,3,8
2023,26,-3.97,-0.152692,-0.59,0.461538,0.931857,-36.06,0,1,1,4,10
2024,42,23.93,0.569762,0.775,0.619048,1.330616,-18.49,1,1,3,4,12
2025,27,91.4,3.385185,3.16,0.62963,2.344909,-23.68,1,1,4,4,10
2026,22,41.31,1.877727,3.795,0.590909,1.247425,-76.37,1,1,2,2,6
