decision,family,name,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,rank_score
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h12_min0.8_tp08_sl08,243,1.1577141113306428,0.6156961940133785,0.4023746398829229,0.47573421256672943,-0.2157499999999799,-194.16700000000256,0.448559670781893,1.55165314346972
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h12_min1.1_tp08_sl08,243,1.1577141113306428,0.6156961940133785,0.4023746398829229,0.47573421256672943,-0.2157499999999799,-194.16700000000256,0.448559670781893,1.55165314346972
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h13_min0.8_tp08_sl08,213,1.0528845922342334,0.5094025301138432,0.31628242144058133,0.3900281367859355,-0.3600000000000363,-207.17600000000218,0.39906103286384975,1.2204143533972815
STAGE27A_REJECT,london_direction_surface_v1,london_follow_h13_min1.1_tp08_sl08,213,1.0528845922342334,0.5094025301138432,0.31628242144058133,0.3900281367859355,-0.3600000000000363,-207.17600000000218,0.39906103286384975,1.2204143533972815
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h9_min0.9_tp08_sl08,720,0.929725618918936,0.46123716090071754,0.30363613745481854,0.3689947604949204,-0.5518750000000181,-836.6700000000048,0.32222222222222224,1.1144866393008153
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h9_min1.3_tp08_sl08,618,0.9308231309669417,0.45632158953046914,0.2988485373937938,0.36808712873679006,-0.6327500000000099,-715.5690000000027,0.3187702265372168,1.1014180504262876
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_follow_h11_hz180_tp08_sl08,1279,0.8604562485839463,0.4388678291805849,0.28318596852571426,0.37818871092222733,-0.449250000000029,-1660.601500000008,0.400312744331509,1.069676423218819
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_fade_h15_hz180_tp08_sl08,1279,0.8271730101034183,0.4199074700747001,0.26593678086767597,0.36350970132017185,-0.6300000000000181,-1743.1314999999993,0.42689601250977327,1.0093076872998978
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_follow_h13_hz180_tp08_sl08,1279,0.8310352712078743,0.4154733006461934,0.2628014534796684,0.3544731009121715,-1.6699999999999817,-1720.5614999999966,0.39796716184519154,0.99048450536113
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h13_min0.9_tp08_sl08,645,0.8933950723077387,0.4125950062432763,0.24925717642215875,0.34482583498650266,-0.3952499999999417,-783.1487499999953,0.4015503875968992,0.962975520773576
STAGE27A_REJECT,hour_h1_bias_surface_v1,h1_bias_follow_h15_hz180_tp08_sl08,1279,0.7787727705422219,0.3971841198669325,0.25174810328308994,0.3541287063945092,-2.279500000000007,-1871.3670000000013,0.41282251759186867,0.9516529894779979
STAGE27A_REJECT,day_open_extension_surface_v1,day_open_ext_fade_h13_min1.3_tp08_sl08,572,0.8410923971308947,0.38007145188671937,0.22638370424640114,0.30179345611848163,-0.4881249999999908,-742.1159999999966,0.39335664335664333,0.8482843381949619
