candidate_id,entry_time_utc,exit_time_utc,year,month,direction,entry_price,exit_price,gross_bps,stress_net_bps,entry_spread_cost_bps,h1_range_bps,h1_threshold_bps
S49_MTF_H1W72_P85_M15S40_M5S20_H24,2022-05-05T15:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,SHORT,1883.81,1878.51,28.1344721601433,25.15246842698958,2.6541954868059943,66.11666648993153,44.895552522649695
S49_MTF_H1W72_P85_M15S40_M5S20_H24,2022-05-05T16:00:00Z,2022-05-05T18:00:00Z,2022,2022-05,SHORT,1874.22,1873.88,1.8140879939383752,-1.1679157392153467,2.6677764616747233,63.36405529953854,47.65342418935025
S49_MTF_H1W72_P85_M15S40_M5S20_H24,2022-05-06T09:00:00Z,2022-05-06T11:00:00Z,2022,2022-05,LONG,1880.64,1884.33,19.620980091882693,16.63897635872897,2.658669389144121,46.07658172348775,41.49758067498796
S49_MTF_H1W72_P85_M15S20_M5S20_H24,2022-05-05T13:00:00Z,2022-05-05T15:00:00Z,2022,2022-05,LONG,1906.65,1883.81,-119.7912569165822,-122.77326064973592,2.622400545459313,65.71494503650233,39.6901803224209
S49_MTF_H1W72_P85_M15S20_M5S20_H24,2022-05-05T14:00:00Z,2022-05-05T16:00:00Z,2022,2022-05,SHORT,1891.81,1874.22,92.97973898012971,89.99773524697599,2.6429715457683383,81.69641443514433,41.49758067498796
S49_MTF_H1W72_P85_M15S20_M5S20_H24,2022-05-05T15:00:00Z,2022-05-05T17:00:00Z,2022,2022-05,SHORT,1883.81,1878.51,28.1344721601433,25.15246842698958,2.6541954868059943,66.11666648993153,44.895552522649695
S49_MTF_H1W72_P85_M15S20_M5S20_H24,2022-05-05T16:00:00Z,2022-05-05T18:00:00Z,2022,2022-05,SHORT,1874.22,1873.88,1.8140879939383752,-1.1679157392153467,2.6677764616747233,63.36405529953854,47.65342418935025
S49_MTF_H1W72_P85_M15S20_M5S20_H24,2022-05-06T09:00:00Z,2022-05-06T11:00:00Z,2022,2022-05,LONG,1880.64,1884.33,19.620980091882693,16.63897635872897,2.658669389144121,46.07658172348775,41.49758067498796
S49_MTF_H1W120_P85_M15S40_M5S20_H24,2022-05-09T14:00:00Z,2022-05-09T16:00:00Z,2022,2022-05,SHORT,1864.24,1859.9,23.2802643436463,20.29826061049258,2.6820581041067677,54.155306039201776,44.04872584499063
S49_MTF_H1W120_P85_M15S40_M5S20_H24,2022-05-09T15:00:00Z,2022-05-09T17:00:00Z,2022,2022-05,SHORT,1861.57,1861.34,1.2355162577825074,-1.7464874753712145,2.6859049082226294,45.690818295678724,45.07859658837789
S49_MTF_H1W120_P85_M15S40_M5S20_H24,2022-05-10T14:00:00Z,2022-05-10T16:00:00Z,2022,2022-05,SHORT,1857.41,1844.18,71.22821563359742,68.2462119004437,2.6919204699016372,51.051455343439606,42.78896340670265
S49_MTF_H1W120_P85_M15S40_M5S20_H24,2022-05-10T15:00:00Z,2022-05-10T17:00:00Z,2022,2022-05,SHORT,1846.94,1845.08,10.070711555330044,7.088707822176323,2.7071805256261707,78.1735712779705,44.04872584499063
S49_MTF_H1W120_P85_M15S40_M5S20_H24,2022-05-10T16:00:00Z,2022-05-10T18:00:00Z,2022,2022-05,SHORT,1844.18,1846.02,-9.977334099707829,-12.95933783286155,2.7112320923120303,47.446561615460524,45.02073207420654
S49_MTF_H1W120_P85_M15S20_M5S20_H24,2022-05-09T13:00:00Z,2022-05-09T15:00:00Z,2022,2022-05,LONG,1867.03,1861.57,-29.24430780437399,-32.226311537527714,2.6780501652356956,51.118930632737424,42.78896340670265
S49_MTF_H1W120_P85_M15S20_M5S20_H24,2022-05-09T15:00:00Z,2022-05-09T17:00:00Z,2022,2022-05,SHORT,1861.57,1861.34,1.2355162577825074,-1.7464874753712145,2.6859049082226294,45.690818295678724,45.07859658837789
S49_MTF_H1W120_P85_M15S20_M5S20_H24,2022-05-10T14:00:00Z,2022-05-10T16:00:00Z,2022,2022-05,SHORT,1857.41,1844.18,71.22821563359742,68.2462119004437,2.6919204699016372,51.051455343439606,42.78896340670265
S49_MTF_H1W120_P85_M15S20_M5S20_H24,2022-05-10T15:00:00Z,2022-05-10T17:00:00Z,2022,2022-05,SHORT,1846.94,1845.08,10.070711555330044,7.088707822176323,2.7071805256261707,78.1735712779705,44.04872584499063
S49_MTF_H1W120_P85_M15S20_M5S20_H24,2022-05-10T16:00:00Z,2022-05-10T18:00:00Z,2022,2022-05,SHORT,1844.18,1846.02,-9.977334099707829,-12.95933783286155,2.7112320923120303,47.446561615460524,45.02073207420654
