candidate_id,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,gross_bps,stress_cost_bps,stress_net_bps,h1_time_utc,h1_range_bps,h1_range_percentile_rank,entry_spread_cost_bps,session_utc,year
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-12T11:05:00Z,2022-05-12T12:05:00Z,SHORT,1845.83,1843.27,13.869099537876975,2.982003733153722,10.887095804723254,2022-05-12T11:00:00Z,44.889052933257965,86.11111111111111,2.708808503491654,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-12T13:05:00Z,2022-05-12T14:05:00Z,SHORT,1843.26,1837.73,30.001193537536608,2.982003733153722,27.019189804382886,2022-05-12T13:00:00Z,57.424073520216275,95.83333333333333,2.7125853108080253,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-12T16:05:00Z,2022-05-12T17:05:00Z,SHORT,1834.24,1824.65,52.283234473132836,2.982003733153722,49.30123073997911,2022-05-12T16:00:00Z,71.05720186929216,95.83333333333333,2.7259246336357292,new_york,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-13T10:05:00Z,2022-05-13T11:05:00Z,SHORT,1821.15,1819.02,11.695906432749137,2.982003733153722,8.713902699595415,2022-05-13T10:00:00Z,39.953177294285005,79.16666666666667,2.74551794195975,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-13T11:05:00Z,2022-05-13T12:05:00Z,SHORT,1819.02,1813.78,28.80672010203301,2.982003733153722,25.82471636887929,2022-05-13T11:00:00Z,41.62508752294868,80.55555555555556,2.7487328341634503,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-13T12:05:00Z,2022-05-13T13:05:00Z,SHORT,1813.78,1801.97,65.11263769586138,2.982003733153722,62.130633962707655,2022-05-13T12:00:00Z,45.30136456549388,84.72222222222223,2.7566739075301308,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-13T13:05:00Z,2022-05-13T14:05:00Z,SHORT,1801.97,1814.24,-68.09214359839498,2.982003733153722,-71.0741473315487,2022-05-13T13:00:00Z,62.8958674757491,93.05555555555556,2.7747409779297105,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-13T14:05:00Z,2022-05-13T15:05:00Z,LONG,1814.24,1815.17,5.1261134138816455,2.982003733153722,2.1441096807279236,2022-05-13T14:00:00Z,65.91238502532356,93.05555555555556,2.755974953699621,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-16T10:05:00Z,2022-05-16T11:05:00Z,LONG,1803.44,1804.8,7.541143592245375,2.982003733153722,4.559139859091653,2022-05-16T10:00:00Z,40.19443921559938,75.0,2.7724792618551213,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-16T14:05:00Z,2022-05-16T15:05:00Z,LONG,1809.06,1813.46,24.322023592363387,2.982003733153722,21.340019859209665,2022-05-16T14:00:00Z,45.250616677610424,79.16666666666667,2.763866317313964,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-16T18:05:00Z,2022-05-16T19:05:00Z,LONG,1815.64,1824.12,46.70529400101226,2.982003733153722,43.72329026785854,2022-05-16T18:00:00Z,47.19336658819347,84.72222222222223,2.753849882135225,new_york,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-17T13:05:00Z,2022-05-17T14:05:00Z,SHORT,1829.29,1821.83,40.780849400587314,2.982003733153722,37.79884566743359,2022-05-17T13:00:00Z,57.68271218410206,91.66666666666667,2.733300898162675,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-18T07:05:00Z,2022-05-18T08:05:00Z,LONG,1813.23,1814.75,8.382830639245887,2.982003733153722,5.400826906092165,2022-05-18T07:00:00Z,39.332558434188876,75.0,2.757510078699338,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-18T11:05:00Z,2022-05-18T12:05:00Z,SHORT,1815.51,1809.07,35.472126289582846,2.982003733153722,32.49012255642912,2022-05-18T11:00:00Z,54.51399063420961,93.05555555555556,2.7540470721725576,london,2022
