candidate_id,h1_range_window,h1_range_percentile,m15_sma_window,m5_sma_window,horizon_m5_bars,max_spread_cost_bps,trade_count,is_trade_count,oos_trade_count,stress_mean_bps,stress_median_bps,stress_win_rate,stress_t_stat,stress_total_bps,stress_max_drawdown_bps,is_stress_mean_bps,is_stress_win_rate,oos_stress_mean_bps,oos_stress_win_rate,positive_year_count,negative_year_count,max_year_share,decision,notes
S49_MTF_H1W72_P85_M15S40_M5S20_H48,72,85.0,40,20,48,3.0380209087577326,1728,1382,346,26.777224359781556,20.637698745948846,0.7054398148148148,18.545236527449767,46271.04369370253,-600.0453820504408,22.346336245641414,0.6989869753979739,44.4751647463182,0.7312138728323699,5,0,0.2534722222222222,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P85_M15S40_M5S20_H48,120,85.0,40,20,48,3.0380209087577326,1826,1460,366,25.97133244007703,19.616682790620832,0.6987951807228916,18.29140124343649,47423.65303558065,-600.0453820504408,21.740005403818834,0.6938356164383561,42.85039657378458,0.7185792349726776,5,0,0.25301204819277107,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P85_M15S20_M5S20_H48,120,85.0,20,20,48,3.0380209087577326,1978,1582,396,26.05915903029031,19.843745815379243,0.7002022244691608,18.975798516169547,51545.016561914235,-600.0453820504408,21.95937926534505,0.695322376738306,42.43757213166254,0.7196969696969697,5,0,0.2603640040444894,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P85_M15S20_M5S20_H48,72,85.0,20,20,48,3.0380209087577326,1877,1501,376,26.291261295823805,20.452335714486562,0.70378263185935,18.98350448222938,49348.69745226128,-797.6578482919576,22.290295543544463,0.698201199200533,42.26320170585384,0.726063829787234,5,0,0.25998934469898777,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P85_M15S40_M5S20_H24,72,85.0,40,20,24,3.0380209087577326,1729,1383,346,25.440692798905868,20.148851482077507,0.7547715442452284,21.732401209148588,43986.957849308244,-286.57202517614496,21.265026069116452,0.754880694143167,42.131291317110374,0.7543352601156069,5,0,0.2533256217466744,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P85_M15S20_M5S20_H24,72,85.0,20,20,24,3.0380209087577326,1878,1502,376,25.192171428471397,20.331632536713755,0.755591054313099,22.420598495595886,47310.89794266929,-511.11307742566714,21.2263386896873,0.7569906790945407,41.03440752861425,0.75,5,0,0.2598509052183174,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P85_M15S40_M5S20_H24,120,85.0,40,20,24,3.0380209087577326,1827,1461,366,25.184956506191327,19.74228680375951,0.7547892720306514,22.32253113355182,46012.91553681155,-232.2703082260996,21.296875638104428,0.75564681724846,40.705410463226734,0.7513661202185792,5,0,0.25287356321839083,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P85_M15S20_M5S20_H24,120,85.0,20,20,24,3.0380209087577326,1979,1583,396,24.958302962171857,19.87056981173198,0.7544214249621021,22.904120613083922,49392.481562138106,-418.2583215518316,21.127308637607754,0.7561591914087177,40.27260603233592,0.7474747474747475,5,0,0.2602324406265791,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P85_M15S40_M5S20_H12,72,85.0,40,20,12,3.0380209087577326,1730,1384,346,25.291114383424564,20.644473077740898,0.8283236994219653,29.115587946316605,43753.627883324494,-271.1371780007248,21.76910254109153,0.8359826589595376,39.379161752756694,0.7976878612716763,5,0,0.25317919075144507,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P85_M15S40_M5S20_H12,120,85.0,40,20,12,3.0380209087577326,1828,1462,366,24.824478831642043,20.08557397053024,0.8309628008752735,30.032563075181773,45379.147304241655,-271.1371780007248,21.514637575890845,0.8399452804377565,38.04575729040776,0.7950819672131147,5,0,0.2527352297592998,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
