variant,period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
pdl_sweep_reclaim_long_controlled_h8_cool4,2023Q4,6,-7.16,-1.193333,0.585,0.5,0.56997,-13.97,0,1,0,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2024Q1,6,18.2,3.033333,3.565,0.833333,7.148649,-2.96,1,1,1,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2024Q2,6,19.21,3.201667,1.04,0.5,2.272185,-9.99,1,1,1,1,2
pdl_sweep_reclaim_long_controlled_h8_cool4,2024Q3,8,-19.33,-2.41625,-2.01,0.125,0.207462,-19.33,0,1,0,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2024Q4,10,-9.19,-0.919,-2.24,0.5,0.76105,-35.91,0,1,0,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2025Q1,10,-2.16,-0.216,2.17,0.8,0.937554,-20.72,0,1,0,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2025Q2,11,-3.4,-0.309091,1.9,0.545455,0.927273,-33.76,0,1,0,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2025Q3,14,-20.75,-1.482143,-1.22,0.214286,0.503232,-31.4,0,1,0,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2025Q4,7,58.6,8.371429,12.49,0.571429,2.253476,-27.04,1,1,1,1,3
pdl_sweep_reclaim_long_controlled_h8_cool4,2026Q1,4,-12.82,-3.205,-4.995,0.25,0.639381,-34.24,0,1,0,1,2
pdl_sweep_reclaim_long_controlled_h8_cool4,2026Q2,8,83.79,10.47375,10.22,0.875,8.569106,-11.07,1,1,1,1,3
