source,family,name,events,pf_x1,pf_x4,pf_x6,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,median_x1,total_x1,rank_score
M15_PROXY,ny_open_impulse_continuation,ny_impulse_cont_lm0.45_cf0.2_h180_e13_tp0.8_sl0.8,145,0.9159,0.6185,0.4676,0.9972,1.0997,0.6761,-1.28,-34.6779,10.4764
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.05_h180_e15_tp0.8_sl0.8,163,0.7365,0.563,0.4692,0.8167,1.0857,0.5401,-3.6983,-192.4376,10.3214
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.05_h90_e15_tp0.8_sl0.8,163,0.6839,0.5161,0.426,0.8158,1.1073,0.5275,-3.6983,-227.6969,10.1769
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.1_h180_e15_tp0.8_sl0.8,160,0.7382,0.5576,0.4607,0.8053,1.1539,0.514,-3.6965,-179.5422,10.123
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.1_h90_e15_tp0.8_sl0.8,160,0.6889,0.5135,0.4203,0.819,1.2147,0.4657,-3.6965,-210.3355,9.9499
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.05_h90_e15_tp0.6_sl0.65,163,0.59,0.4133,0.321,0.634,0.8016,0.4433,-3.159,-258.5501,9.7895
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.05_h180_e15_tp0.6_sl0.65,163,0.5921,0.4173,0.3254,0.6071,0.7525,0.4374,-3.159,-262.3743,9.7716
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.1_h180_e15_tp0.6_sl0.65,160,0.5886,0.4081,0.3139,0.5842,0.7597,0.4175,-3.1596,-249.7102,9.5614
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.85_cf0.1_h90_e15_tp0.6_sl0.65,160,0.5863,0.4037,0.3091,0.6126,0.8187,0.4075,-3.1596,-245.886,9.559
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h180_e13_tp0.6_sl0.65,100,1.03,0.7161,0.5528,1.2608,1.105,0.6532,1.8673,8.7393,9.2809
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h180_e13_tp0.6_sl0.65,100,1.03,0.7161,0.5528,1.2608,1.105,0.6532,1.8673,8.7393,9.2809
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h180_e13_tp0.8_sl0.8,100,1.073,0.7963,0.6496,1.2759,1.7047,0.6304,0.3929,24.8822,9.1384
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h180_e13_tp0.8_sl0.8,100,1.073,0.7963,0.6496,1.2759,1.7047,0.6304,0.3929,24.8822,9.1384
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h90_e13_tp0.6_sl0.65,100,0.9716,0.6218,0.4523,1.1417,1.0149,0.6362,1.2172,-6.9438,8.8362
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h90_e13_tp0.6_sl0.65,100,0.9716,0.6218,0.4523,1.1417,1.0149,0.6362,1.2172,-6.9438,8.8362
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h90_e13_tp0.8_sl0.8,100,1.0382,0.6827,0.5143,1.197,1.5362,0.6369,-0.225,9.3523,8.7513
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h90_e13_tp0.8_sl0.8,100,1.0382,0.6827,0.5143,1.197,1.5362,0.6369,-0.225,9.3523,8.7513
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h180_e15_tp0.8_sl0.8,105,0.8729,0.6653,0.5554,1.0763,1.6434,0.6093,-3.6679,-53.9214,7.9993
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h90_e15_tp0.8_sl0.8,105,0.787,0.5904,0.4874,1.1025,1.8073,0.4854,-3.6679,-89.2332,7.6509
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h180_e15_tp0.8_sl0.8,104,0.7987,0.6032,0.4998,0.8728,1.343,0.5009,-3.6831,-85.4075,7.4894
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h90_e15_tp0.8_sl0.8,104,0.7225,0.5371,0.4399,0.9032,1.4974,0.4607,-3.6831,-116.2532,7.2763
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h180_e13_tp0.6_sl0.65,50,1.2301,0.8209,0.6111,0.9831,0.83,0.6711,2.0354,27.4078,7.0113
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h180_e13_tp0.6_sl0.65,50,1.2301,0.8209,0.6111,0.9831,0.83,0.6711,2.0354,27.4078,7.0113
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h90_e15_tp0.6_sl0.65,105,0.6081,0.4281,0.3359,0.753,1.032,0.3695,-3.1798,-153.7829,6.9146
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.05_h180_e15_tp0.6_sl0.65,105,0.6109,0.434,0.3425,0.6982,0.9177,0.3605,-3.1798,-157.6071,6.8767
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h90_e15_tp0.6_sl0.65,104,0.5481,0.3794,0.2931,0.5971,0.8136,0.3305,-3.2026,-177.3099,6.5623
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.7_cf0.1_h180_e15_tp0.6_sl0.65,104,0.5528,0.3865,0.3006,0.5548,0.7235,0.3229,-3.2026,-181.1342,6.5388
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h180_e13_tp0.8_sl0.8,50,0.9111,0.6544,0.5184,0.6109,0.8431,0.4481,0.46,-15.0499,5.5603
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h180_e13_tp0.8_sl0.8,50,0.9111,0.6544,0.5184,0.6109,0.8431,0.4481,0.46,-15.0499,5.5603
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h180_e15_tp0.8_sl0.8,53,0.8976,0.6644,0.5443,1.1735,1.6804,0.5275,-3.7906,-19.4812,5.3598
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h90_e15_tp0.8_sl0.8,53,0.853,0.612,0.4912,1.4799,4.8758,0.4513,-3.7906,-25.7431,5.3469
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h180_e15_tp0.6_sl0.65,53,0.6977,0.4755,0.3651,0.984,1.5403,0.4053,-3.1798,-51.7522,4.6882
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h180_e15_tp0.8_sl0.8,52,0.7322,0.5285,0.4236,0.9168,0.9424,0.3851,-3.7907,-50.9673,4.5619
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h90_e15_tp0.6_sl0.65,53,0.6433,0.4338,0.3304,0.8527,1.5403,0.3642,-3.1798,-61.3411,4.4216
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h90_e15_tp0.8_sl0.8,52,0.6987,0.4883,0.3827,0.8713,3.0673,0.3481,-3.7907,-52.7631,4.3843
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h90_e13_tp0.6_sl0.65,50,0.6494,0.3602,0.2255,0.2768,0.0,0.305,0.155,-42.7179,4.347
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h90_e13_tp0.6_sl0.65,50,0.6494,0.3602,0.2255,0.2768,0.0,0.305,0.155,-42.7179,4.347
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h180_e15_tp0.6_sl0.65,52,0.5603,0.3658,0.2694,0.5826,0.8641,0.3226,-3.2174,-75.2793,3.9293
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h90_e15_tp0.6_sl0.65,52,0.5065,0.325,0.2357,0.4699,0.8641,0.2559,-3.2174,-84.8681,3.6445
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.05_h90_e13_tp0.8_sl0.8,50,0.4917,0.2818,0.1846,0.084,0.0,0.2665,-1.29,-72.9226,3.5899
M15_PROXY,prev_day_inside_breakout_continuation,inside_break_cont_in0.55_cf0.1_h90_e13_tp0.8_sl0.8,50,0.4917,0.2818,0.1846,0.084,0.0,0.2665,-1.29,-72.9226,3.5899
