feature,gate,threshold,status,retained_events,retained_ratio,pf_x4,pf_x6,total_x4,win_rate_x4,lift_pf_x4,non_null_ratio,rank_score
prior_day_range,prior_day_range_ge_q65,37.9,numeric_quantile,6303.0,0.3511,0.451474,0.312581,-10124.39486,0.435348,0.167227,1.0,-20.003417470000002
prior_day_range,prior_day_range_le_q40,23.8,numeric_quantile,7182.0,0.4001,0.092576,0.031443,-10091.82086,0.184489,-0.191671,1.0,-20.36745197
h1_atr20,h1_atr20_le_q40,4.733,numeric_quantile,7177.0,0.3998,0.021354,0.001518,-10087.30306,0.114672,-0.262893,0.9994,-20.43711962
h1_range,h1_range_le_q40,4.34,numeric_quantile,7185.0,0.4003,0.031384,0.003805,-10144.875165,0.123869,-0.252863,1.0,-20.541662080000002
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_le_q40,0.244,numeric_quantile,7223.0,0.4024,0.197156,0.093859,-10250.503945,0.269556,-0.087091,0.9983,-20.56463414
asia_range,asia_range_le_q40,9.23,numeric_quantile,7187.0,0.4004,0.029691,0.002438,-10211.52414,0.131905,-0.254556,1.0,-20.67699478
asia_eff,asia_eff_le_q40,0.342391,numeric_quantile,7195.0,0.4008,0.309654,0.185204,-10427.884255,0.315636,0.025407,1.0,-20.78406051
london_range,london_range_le_q40,11.36,numeric_quantile,7187.0,0.4004,0.022037,0.001545,-10307.393905,0.111451,-0.26221,1.0,-20.876611560000004
asia_eff,asia_eff_ge_q60,0.494759,numeric_quantile,7207.0,0.4015,0.268902,0.154096,-10820.30165,0.282364,-0.015345,1.0,-21.6174243
asia_range,asia_range_ge_q60,14.15,numeric_quantile,7189.0,0.4005,0.46428,0.316884,-11041.0714,0.458896,0.180033,1.0,-21.822888800000005
h1_atr20,h1_atr20_ge_q60,6.227,numeric_quantile,7178.0,0.3999,0.468711,0.320135,-11047.63156,0.465729,0.184464,0.9994,-21.830765369999998
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_ge_q60,0.456,numeric_quantile,7186.0,0.4003,0.367602,0.23947,-11056.71562,0.329947,0.083355,0.9983,-21.97020874
london_range,london_range_ge_q60,16.44,numeric_quantile,7185.0,0.4003,0.464081,0.3182,-11149.38419,0.463883,0.179834,1.0,-22.03938438
h1_range,h1_range_ge_q60,6.1,numeric_quantile,7188.0,0.4004,0.460638,0.315621,-11158.819205,0.456455,0.176391,1.0,-22.06234216
london_eff,london_eff_le_q40,0.390483,numeric_quantile,7183.0,0.4001,0.263405,0.153064,-11320.1229,0.291243,-0.020842,1.0,-22.622821800000004
prior_day_range,prior_day_range_ge_q60,34.2,numeric_quantile,7197.0,0.4009,0.429318,0.290627,-11457.27636,0.424343,0.145071,1.0,-22.696824969999998
entry_hour,entry_hour==13,,categorical_bucket,7627.0,0.4249,0.299082,0.17491,-11574.07031,0.337223,0.014835,1.0,-23.08957812
london_eff,london_eff_ge_q50,0.462103,numeric_quantile,8976.0,0.5,0.297495,0.171268,-12557.938885,0.301136,0.013248,1.0,-25.05981277
prior_day_range,prior_day_range_le_q50,28.34,numeric_quantile,8991.0,0.5009,0.104351,0.035691,-12521.901355,0.20476,-0.179896,1.0,-25.21477596
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_le_q50,0.336,numeric_quantile,8963.0,0.4993,0.210559,0.10411,-12745.503835,0.271226,-0.073688,0.9983,-25.538668169999998
asia_range,asia_range_le_q50,11.45,numeric_quantile,8979.0,0.5002,0.03784,0.004113,-12734.01417,0.156031,-0.246407,1.0,-25.71340709
h1_range,h1_range_le_q50,5.1,numeric_quantile,8978.0,0.5001,0.042718,0.005306,-12748.05041,0.159167,-0.241529,1.0,-25.736303319999998
london_range,london_range_le_q50,13.52,numeric_quantile,8986.0,0.5006,0.034248,0.002794,-12754.88024,0.149232,-0.249999,1.0,-25.75906098
h1_atr20,h1_atr20_le_q50,5.3605,numeric_quantile,8977.0,0.5001,0.030882,0.002642,-12944.503785,0.144258,-0.253365,0.9994,-26.14171207
asia_eff,asia_eff_ge_q50,0.418605,numeric_quantile,8997.0,0.5012,0.276519,0.157434,-13176.77951,0.289763,-0.007728,1.0,-26.321928520000004
asia_eff,asia_eff_le_q50,0.418605,numeric_quantile,8981.0,0.5003,0.290797,0.170894,-13287.9751,0.306425,0.00655,1.0,-26.5266767
h1_atr20,h1_atr20_ge_q50,5.3605,numeric_quantile,8975.0,0.5,0.427694,0.278389,-13467.955845,0.452256,0.143447,0.9994,-26.72286744
london_range,london_range_ge_q50,13.52,numeric_quantile,8979.0,0.5002,0.423523,0.276503,-13653.616945,0.447154,0.139276,1.0,-27.09883214
h1_range,h1_range_ge_q50,5.1,numeric_quantile,8980.0,0.5003,0.420481,0.275123,-13664.3186,0.437305,0.136234,1.0,-27.123622450000003
asia_range,asia_range_ge_q50,11.45,numeric_quantile,8990.0,0.5008,0.421755,0.275436,-13686.447015,0.439933,0.137508,1.0,-27.16652703
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_ge_q50,0.336,numeric_quantile,9014.0,0.5021,0.341231,0.214787,-13715.52462,0.325716,0.056984,0.9983,-27.32036849
prior_day_range,prior_day_range_ge_q50,28.34,numeric_quantile,8978.0,0.5001,0.393862,0.256941,-13892.88538,0.392849,0.109615,1.0,-27.611920509999997
london_eff,london_eff_le_q50,0.462103,numeric_quantile,8987.0,0.5006,0.271702,0.158042,-13845.60565,0.295204,-0.012545,1.0,-27.6642458
london_eff,london_eff_ge_q40,0.390483,numeric_quantile,10780.0,0.6005,0.299103,0.172518,-15090.977035,0.303432,0.014856,1.0,-30.12396857
prior_day_range,prior_day_range_le_q60,34.2,numeric_quantile,10778.0,0.6004,0.110573,0.039021,-15002.8689,0.213769,-0.173674,1.0,-30.16965655
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_le_q60,0.456,numeric_quantile,10770.0,0.6,0.209337,0.10249,-15327.292735,0.277252,-0.07491,0.9983,-30.70387297
h1_range,h1_range_le_q60,6.1,numeric_quantile,10781.0,0.6006,0.058748,0.008981,-15278.09038,0.192746,-0.225499,1.0,-30.77943451
london_range,london_range_le_q60,16.44,numeric_quantile,10801.0,0.6017,0.051658,0.005398,-15327.292045,0.188408,-0.232589,1.0,-30.88582359
