events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters,period
19,-54.86,-2.887368,-2.41,0.263158,0.178127,-58.78,0,1,0,3,2022
21,30.28,1.441905,1.18,0.666667,2.377616,-11.93,1,1,3,4,2023
23,41.7,1.813043,1.63,0.652174,3.277444,-10.51,1,1,3,4,2024
23,79.46,3.454783,1.19,0.782609,4.175859,-9.81,1,1,3,4,2025
8,46.9,5.8625,7.08,0.75,3.701613,-15.94,1,1,1,2,2026
