train_frac,segment,events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters
0.6,train,56,1.53,0.027321,0.06,0.5,1.014298,-58.78,2,3,5,10
0.6,test,38,141.95,3.735526,1.72,0.789474,4.347088,-15.94,3,3,6,8
0.7,train,65,16.51,0.254,0.44,0.538462,1.144407,-58.78,2,4,6,12
0.7,test,29,126.97,4.378276,1.81,0.793103,4.61841,-15.94,2,2,4,6
0.8,train,75,24.59,0.327867,0.98,0.56,1.201145,-58.78,3,4,8,14
0.8,test,19,118.89,6.257368,2.64,0.842105,5.375782,-15.94,2,2,3,4
