variant,period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
pdl_sweep_reclaim_long_controlled_h4_cool4,2025,45,32.31,0.718,0.99,0.555556,1.230325,-28.19,1,1,2,4,12
pdl_sweep_reclaim_long_controlled_h4_cool4,2026,13,107.07,8.236154,6.31,0.769231,32.215743,-1.87,1,1,2,2,5
pdl_sweep_reclaim_long_controlled_h8_cool0,2022,30,-12.9,-0.43,-0.075,0.5,0.854697,-56.19,0,1,1,3,8
pdl_sweep_reclaim_long_controlled_h8_cool0,2023,26,5.95,0.228846,-1.135,0.423077,1.114865,-30.31,1,1,1,4,10
pdl_sweep_reclaim_long_controlled_h8_cool0,2024,31,20.68,0.667097,-0.16,0.483871,1.269131,-33.61,1,1,2,4,11
pdl_sweep_reclaim_long_controlled_h8_cool0,2025,45,23.87,0.530444,-0.25,0.488889,1.132061,-67.09,1,1,1,4,12
pdl_sweep_reclaim_long_controlled_h8_cool0,2026,13,40.45,3.111538,4.03,0.615385,1.524371,-45.31,1,1,1,2,5
pdl_sweep_reclaim_long_controlled_h8_cool4,2022,29,-8.66,-0.298621,0.04,0.517241,0.897563,-51.95,0,1,1,3,8
pdl_sweep_reclaim_long_controlled_h8_cool4,2023,25,7.88,0.3152,-1.03,0.44,1.158011,-30.31,1,1,1,4,10
pdl_sweep_reclaim_long_controlled_h8_cool4,2024,30,8.89,0.296333,-0.755,0.466667,1.109875,-39.3,1,1,2,4,11
pdl_sweep_reclaim_long_controlled_h8_cool4,2025,42,32.29,0.76881,-0.11,0.5,1.190098,-58.67,1,1,1,4,12
pdl_sweep_reclaim_long_controlled_h8_cool4,2026,12,70.97,5.914167,6.73,0.666667,2.522308,-45.31,1,1,1,2,5
