time_utc,open,high,low,close,volume,symbol,interval,provider,source_file,fetched_at_utc,spread_available,spread_close,session_utc
2026-03-21T05:20:00Z,4497.4504,4497.62438,4497.3945,4497.47563,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:25:00Z,4497.43869,4497.63064,4497.37756,4497.54327,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:30:00Z,4497.443,4497.63496,4497.39559,4497.46753,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:35:00Z,4497.43988,4497.63934,4497.3949,4497.41311,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:40:00Z,4497.44599,4497.62449,4497.38761,4497.48952,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:45:00Z,4497.44635,4497.62825,4497.387,4497.54665,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:50:00Z,4497.44635,4497.64093,4497.3985,4497.4677,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T05:55:00Z,4497.44635,4497.63958,4497.40207,4497.41406,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:00:00Z,4497.44635,4497.63143,4497.38599,4497.49538,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:05:00Z,4497.44635,4497.62467,4497.38927,4497.54745,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:10:00Z,4497.44875,4497.64412,4497.39395,4497.46202,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:15:00Z,4497.44635,4497.63474,4497.40814,4497.41557,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:20:00Z,4497.4452,4497.62971,4497.38523,4497.49531,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:25:00Z,4497.44052,4497.61369,4497.38665,4497.54154,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:30:00Z,4497.44394,4497.6401,4497.3901,4497.44788,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:35:00Z,4497.43806,4497.62478,4497.4135,4497.41368,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:40:00Z,4497.44152,4497.63078,4497.38169,4497.50493,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:45:00Z,4497.44441,4497.60633,4497.38892,4497.53719,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:50:00Z,4497.4427,4497.63723,4497.38156,4497.44254,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T06:55:00Z,4497.43813,4497.61994,4497.41399,4497.4162,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,asia
2026-03-21T07:00:00Z,4497.4415,4497.6329,4497.38312,4497.50624,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:05:00Z,4497.44038,4497.59834,4497.3961,4497.53653,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:10:00Z,4497.44513,4497.63741,4497.3799,4497.43932,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:15:00Z,4497.44022,4497.61646,4497.41399,4497.42113,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:20:00Z,4497.44352,4497.63604,4497.38749,4497.50932,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:25:00Z,4497.43829,4497.58953,4497.40018,4497.53123,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:30:00Z,4497.44311,4497.63242,4497.37723,4497.43232,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:35:00Z,4497.43827,4497.60781,4497.41399,4497.42261,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:40:00Z,4497.4415,4497.63415,4497.38623,4497.51999,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:45:00Z,4497.44431,4497.58309,4497.41399,4497.53401,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:50:00Z,4497.44878,4497.64077,4497.38564,4497.44203,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T07:55:00Z,4497.45238,4497.60914,4497.41399,4497.43215,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:00:00Z,4497.44757,4497.63946,4497.38763,4497.52652,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:05:00Z,4497.44629,4497.57332,4497.41399,4497.53222,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:10:00Z,4497.45119,4497.64294,4497.38688,4497.43153,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:15:00Z,4497.44635,4497.60097,4497.43433,4497.43433,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:20:00Z,4497.44635,4497.6396,4497.38595,4497.52863,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:25:00Z,4497.44424,4497.57762,4497.41399,4497.51914,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:30:00Z,4497.44309,4497.63805,4497.38135,4497.41941,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:35:00Z,4497.43848,4497.59001,4497.41399,4497.43899,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:40:00Z,4497.44596,4497.63477,4497.38532,4497.53238,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:45:00Z,4497.4442,4497.5871,4497.41399,4497.51439,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:50:00Z,4497.44192,4497.6363,4497.38212,4497.41783,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T08:55:00Z,4497.44043,4497.57671,4497.41399,4497.44208,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:00:00Z,4497.44321,4497.63076,4497.38169,4497.53786,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:05:00Z,4497.44683,4497.59854,4497.41399,4497.50946,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:10:00Z,4497.44304,4497.63726,4497.37949,4497.41475,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:15:00Z,4497.44063,4497.56828,4497.41399,4497.44536,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:20:00Z,4497.44159,4497.63289,4497.38311,4497.53464,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:25:00Z,4497.4399,4497.60043,4497.41399,4497.50403,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:30:00Z,4497.44266,4497.63744,4497.37783,4497.41821,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:35:00Z,4497.44572,4497.57419,4497.41399,4497.45078,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:40:00Z,4497.44162,4497.64,4497.38554,4497.54096,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:45:00Z,4497.44411,4497.61176,4497.41399,4497.4985,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:50:00Z,4497.44197,4497.63673,4497.3833,4497.41414,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T09:55:00Z,4497.44456,4497.58904,4497.40835,4497.46006,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T10:00:00Z,4497.44635,4497.64227,4497.39238,4497.54485,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T10:05:00Z,4497.4461,4497.62037,4497.41399,4497.49939,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T10:10:00Z,4497.44868,4497.63893,4497.3856,4497.40844,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T10:15:00Z,4497.44081,4497.5963,4497.39788,4497.46218,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
2026-03-21T10:20:00Z,4497.44171,4497.63329,4497.38345,4497.53825,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_window1_20260619T051819Z.json,2026-06-19T05:18:19Z,False,,london
