time_utc,open,high,low,close,volume,symbol,interval,provider,source_file,fetched_at_utc,spread_available,spread_close,session_utc
2026-06-03 21:35:00+00:00,4434.52927,4434.5898,4434.39315,4434.53625,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,new_york
2026-06-03 21:40:00+00:00,4434.42904,4434.84485,4434.34919,4434.52445,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,new_york
2026-06-03 21:45:00+00:00,4434.40833,4434.58849,4434.39315,4434.41483,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,new_york
2026-06-03 21:50:00+00:00,4434.43771,4434.62622,4434.28566,4434.47751,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,new_york
2026-06-03 21:55:00+00:00,4434.41153,4434.54811,4434.28987,4434.50661,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,new_york
2026-06-03 22:00:00+00:00,4434.41872,4441.08896,4430.31011,4435.36464,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:05:00+00:00,4437.26261,4437.26261,4432.23119,4435.91603,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:10:00+00:00,4435.5123,4437.3098,4431.24917,4431.96078,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:15:00+00:00,4432.34405,4432.34405,4424.58298,4428.84638,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:20:00+00:00,4428.24124,4429.87508,4424.97456,4429.64363,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:25:00+00:00,4429.03719,4434.5898,4427.65774,4433.47711,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:30:00+00:00,4433.56172,4438.77951,4433.09101,4438.4161,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:35:00+00:00,4437.63808,4440.07035,4436.78972,4436.94336,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:40:00+00:00,4437.19732,4439.67714,4435.5733,4435.69017,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:45:00+00:00,4435.60402,4438.46778,4435.60402,4438.41067,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:50:00+00:00,4438.1432,4440.30016,4434.60485,4434.60485,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 22:55:00+00:00,4439.82657,4451.17066,4433.89585,4447.02983,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:00:00+00:00,4447.29243,4450.39911,4441.49978,4446.21105,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:05:00+00:00,4446.5031,4450.97254,4444.80612,4447.63334,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:10:00+00:00,4447.89299,4448.21899,4446.42063,4447.61532,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:15:00+00:00,4447.17563,4448.9923,4447.17563,4447.88239,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:20:00+00:00,4448.13784,4450.37828,4447.55511,4450.0743,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:25:00+00:00,4449.96566,4451.3688,4448.75088,4451.32268,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:30:00+00:00,4451.14924,4452.78358,4448.39858,4450.07971,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:35:00+00:00,4450.25434,4451.83816,4448.9923,4449.23238,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:40:00+00:00,4449.64122,4453.54948,4446.54481,4452.99651,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:45:00+00:00,4452.1552,4464.08642,4452.1552,4462.08941,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:50:00+00:00,4461.45344,4461.45344,4457.8679,4460.66317,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-03 23:55:00+00:00,4460.19865,4460.63045,4457.51984,4457.63514,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,other
2026-06-04 00:00:00+00:00,4457.77847,4463.88715,4457.12248,4459.81733,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,asia
2026-06-04 00:05:00+00:00,4460.56414,4461.29824,4455.93084,4456.0856,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,asia
2026-06-04 00:10:00+00:00,4456.32391,4458.4287,4453.77885,4454.25265,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,asia
2026-06-04 00:15:00+00:00,4455.24781,4456.92383,4449.67247,4456.61603,0.0,XAU/USD,5min,twelvedata,twelvedata_XAU_USD_5min_20260604T055442Z.json,2026-06-04T05:54:42.386959+00:00,False,,asia
