family,proxy_tested,proxy_passing_min_events,exact_replayed,best_proxy_pf_x4,best_exact_pf_x4
day_open_drive_failure_reversal_v1,0,0,0,0.0,0.0
failed_asia_breakout_reversal_v1,5,5,3,0.3990780066223759,0.4016561398274378
london_impulse_failure_reversal_v1,0,0,0,0.0,0.0
prior_day_extreme_failure_reversal_v1,0,0,0,0.0,0.0
