source_stage,family,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,original_pf_x4,original_total_x4,mirror_minus_original_pf_x4,decision
stage26b,htf_bias_pullback_v2,159,1.09,0.4736,0.2643,0.3362,-0.124,-148.1525,0.478,0.2551,-297.0475,0.2185,STAGE26D_REJECT
stage26b,session_transition_imbalance_v2,645,0.8591,0.4321,0.2805,0.352,-2.521,-829.932,0.3721,0.3375,-976.068,0.0946,STAGE26D_REJECT
stage26b,asia_breakout_pullback_v2,1641,0.8663,0.3804,0.2203,0.3296,-0.3995,-2049.0467,0.418,0.3048,-2545.7532,0.0756,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,958,0.7334,0.342,0.2105,0.2772,-2.1901,-1444.5633,0.3779,0.3986,-1237.8367,-0.0566,STAGE26D_REJECT
stage26b,squeeze_release_continuation_v2,538,0.6882,0.271,0.1447,0.2207,-0.6113,-822.2837,0.3662,0.3546,-684.1163,-0.0836,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,604,0.4371,0.2061,0.1137,0.1672,-2.8686,-1430.9051,0.3543,0.7564,-260.2949,-0.5503,STAGE26D_REJECT
