source_stage,family,reason,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,original_pf_x4,original_total_x4,mirror_minus_original_pf_x4,decision
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.95,4,0.0,0.0,0.0,0.0,-2.768,-11.072,0.0,0.0,-0.128,0.0,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.66,4,0.0,0.0,0.0,0.0,-2.7883,-11.1531,0.0,0.8794,-0.0469,-0.8794,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.67,4,0.0,0.0,0.0,0.0,-2.8157,-11.2629,0.0,1.1757,0.0629,-1.1757,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.85,4,0.0,0.0,0.0,0.0,-2.816,-11.264,0.0,inf,0.064,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.89,4,0.0,0.0,0.0,0.0,-2.8303,-11.3211,0.0,inf,0.1211,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.83,4,0.0,0.0,0.0,0.0,-2.9491,-11.7966,0.0,inf,0.5966,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.95,4,0.0,0.0,0.0,0.0,-3.0726,-12.2903,0.0,inf,1.0903,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.90,4,0.0,0.0,0.0,0.0,-3.084,-12.336,0.0,inf,1.136,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.87,4,0.0,0.0,0.0,0.0,-3.588,-14.352,0.0,inf,3.152,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.76,4,0.0,0.0,0.0,0.0,-3.6994,-14.7977,0.0,inf,3.5977,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.62,4,0.0,0.0,0.0,0.0,-3.7186,-14.8743,0.0,inf,3.6743,-inf,STAGE26D_REJECT
