source,scope_type,scope_value,macro_feature,macro_gate,macro_side,macro_q,overlay_name,overlay_features_json,scope_rows,stage31b_decision,stage31b_wf_pf_x4,stage31b_wf_total_x4,wf_events,wf_pf_x1,wf_pf_x4,wf_pf_x6,wf_total_x1,wf_total_x4,wf_total_x6,win_rate_x4,median_x4,boot_p05_total_x4,years_positive_x4,years_tested,decision,rank_score
stage31b_top_diagnostic,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_YEARS,10.231772980740184,180.91764,100,10.850936862521161,7.00671190485618,5.1989239442237825,463.00940000000014,358.0094000000001,288.0094000000001,0.88,2.18329,255.7102155,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,134.586450775
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_YEARS,10.231772980740184,180.91764,100,10.850936862521161,7.00671190485618,5.1989239442237825,463.00940000000014,358.0094000000001,288.0094000000001,0.88,2.18329,254.46482900000007,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,134.52418145000001
stage31b_top_diagnostic,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,le,0.2,macro_only,[],400,REJECT_TOO_FEW_EVENTS,inf,128.77948,132,23.38998021903797,12.174412744189237,7.398380125795006,464.0771199999999,325.47711999999996,233.07711999999998,0.9393939393939394,1.25243,238.00949,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,132.4481865
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,le,0.2,macro_only,[],400,REJECT_TOO_FEW_EVENTS,inf,128.77948,132,23.38998021903797,12.174412744189237,7.398380125795006,464.0771199999999,325.47711999999996,233.07711999999998,0.9393939393939394,1.25243,234.1363975,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,132.254531875
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,le,0.2,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_EVENTS,inf,128.77948,108,43.129825354884275,22.800598788978697,13.551970219372322,424.75963999999993,311.35963999999996,235.75964,0.9629629629629629,1.44014,223.273362,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,130.2996321
stage31b_top_diagnostic,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,le,0.2,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_EVENTS,inf,128.77948,108,43.129825354884275,22.800598788978697,13.551970219372322,424.75963999999993,311.35963999999996,235.75964,0.9629629629629629,1.44014,221.672086,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,130.2195683
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,oil_rank250,oil_rank250_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_YEARS,10.964207277744666,195.27136,68,12.420329598918666,7.352992480037214,5.062834989513809,281.18496,209.78496000000007,162.18496000000002,0.8823529411764706,2.33929,152.0407885,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,111.380535425
stage31b_top_diagnostic,family,london_oneway_continuation,oil_rank250,oil_rank250_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_YEARS,10.964207277744666,195.27136,68,12.420329598918666,7.352992480037214,5.062834989513809,281.18496,209.78496000000007,162.18496000000002,0.8823529411764706,2.33929,148.35308849999998,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,111.196150425
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_ret_1,real_yield_ret_1_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_EVENTS,inf,98.66116,56,16.19429294450805,10.298441121315577,6.916634303809712,252.17968000000002,193.37968,154.17968000000002,0.9285714285714286,1.7056449999999999,137.83067350000002,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,109.829501675
stage31b_top_diagnostic,family,london_oneway_continuation,real_yield_ret_1,real_yield_ret_1_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_EVENTS,inf,98.66116,56,16.19429294450805,10.298441121315577,6.916634303809712,252.17968000000002,193.37968,154.17968000000002,0.9285714285714286,1.7056449999999999,125.98826550000001,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,109.237381275
